event_key,event_type,event_type_source,attendee_roles,attendee_roles_source,confirmed_attendance,confirmed_attendance_source,delegate_list_policy,delegate_list_policy_source,speaking_available,speaking_available_source,organiser,organiser_source,notes
acec-2026,,,,,,,,,,,,,scrape https://www.2025acec.edu.au/: no markdown returned; no markdown scraped
acel-2026,annual national conference for education leaders and researchers,https://community.acel.org.au/calendar/event-description?CalendarEventKey=9d1616bf-47bf-4e4c-b7e0-019a069746dd&Home=%2fcalendar%2fcalendar,"school leaders, teachers, and education researchers from Australia and internationally",https://community.acel.org.au/calendar/event-description?CalendarEventKey=9d1616bf-47bf-4e4c-b7e0-019a069746dd&Home=%2fcalendar%2fcalendar,"described as bringing together thousands of attendees, but no specific number stated",https://community.acel.org.au/calendar/event-description?CalendarEventKey=9d1616bf-47bf-4e4c-b7e0-019a069746dd&Home=%2fcalendar%2fcalendar,,,,,"Australian Council for Educational Leaders (ACEL), in partnership with ACER",https://community.acel.org.au/calendar/event-description?CalendarEventKey=9d1616bf-47bf-4e4c-b7e0-019a069746dd&Home=%2fcalendar%2fcalendar,
acssq,annual professional conference for school counsellors,https://accssq.com/,counsellors working in Catholic secondary schools in South East Queensland,https://accssq.com/,,,,,,,Association of Counsellors in Catholic Secondary Schools Queensland (ACCSSQ),https://accssq.com/,
ahisa-national-event,annual professional conference with exhibition for independent school leaders,https://www.ahisa.edu.au/Web/Web/Events/Event-Listing.aspx | https://ahisa.edu.au/LLC2026/LLC2026/sponsorship-exhbition/sponsorship-exhibition-information.aspx,independent school principals and senior leadership team members,https://www.ahisa.edu.au/Web/Web/Events/Event-Listing.aspx | https://ahisa.edu.au/LLC2026/LLC2026/sponsorship-exhbition/sponsorship-exhibition-information.aspx,,,"sponsors receive a delegate list by email up to two weeks before the conference, including name, organisation and state, though not all participants are guaranteed to be included",https://www.ahisa.edu.au/Web/Web/Events/Event-Listing.aspx | https://ahisa.edu.au/LLC2026/LLC2026/sponsorship-exhbition/sponsorship-exhibition-information.aspx,"yes, keynote and breakout room sponsorship packages include speaking or presentation opportunities, plus welcome reception and happy hour sponsorships",https://www.ahisa.edu.au/Web/Web/Events/Event-Listing.aspx | https://ahisa.edu.au/LLC2026/LLC2026/sponsorship-exhbition/sponsorship-exhibition-information.aspx,AHISA (Association of Heads of Independent Schools of Australia),https://www.ahisa.edu.au/Web/Web/Events/Event-Listing.aspx | https://ahisa.edu.au/LLC2026/LLC2026/sponsorship-exhbition/sponsorship-exhibition-information.aspx,
aisnsw,,,"teachers, school leaders, administrative staff, board members, and VET compliance officers in independent schools",https://www.aisnsw.edu.au/courses/pages/CourseDetails.aspx?cId=131b426cf8ee4eee94dcd6398efb528a,,,,,,,Independent Schools NSW (ISNSW),https://www.aisnsw.edu.au/courses/pages/CourseDetails.aspx?cId=131b426cf8ee4eee94dcd6398efb528a,
aiswa-wellbeing-and-respectful-relationships,"single-day conference focused on school wellbeing, consent and respectful relationships education",https://www.ais.wa.edu.au/aiswa-wellbeingconference,educators and school leaders from independent schools,https://www.ais.wa.edu.au/aiswa-wellbeingconference,,,,,,,Association of Independent Schools of Western Australia (AISWA),https://www.ais.wa.edu.au/aiswa-wellbeingconference,
alea-national,national literacy education conference,https://www.alea.edu.au/professional-learning/alea-national-conference/,"primary educators, school leaders, literacy researchers and academics, literacy advocates",https://www.alea.edu.au/professional-learning/alea-national-conference/,,,,,,,Australian Literacy Educators' Association (ALEA),https://www.alea.edu.au/professional-learning/alea-national-conference/,
apacs-2026-national,national professional conference for school psychology and counselling staff,https://www.apacs.org.au/2021-apacs-national-conference,"school psychologists, counsellors, guidance officers, leadership and support staff",https://www.apacs.org.au/2021-apacs-national-conference,,,,,,,"Australian Psychological Association of Counselling and School Psychologists (APACS), hosted by the Tasmanian School Psychology Association (TSPA)",https://www.apacs.org.au/2021-apacs-national-conference,
appa-national,national professional conference for primary school principals,https://appa.asn.au/events/conferences/2026-appa-national-conference-canberra/,primary school principals,https://appa.asn.au/events/conferences/2026-appa-national-conference-canberra/,,,,,,,Australian Primary Principals Association (APPA),https://appa.asn.au/events/conferences/2026-appa-national-conference-canberra/,
asa,annual education conference for Anglican schools,https://www.anglicanschoolsaustralia.edu.au/2026-conference/,"principals, chaplains, senior staff, teachers, and governors of Anglican schools",https://www.anglicanschoolsaustralia.edu.au/2026-conference/,,,,,,,Anglican Schools Australia,https://www.anglicanschoolsaustralia.edu.au/2026-conference/,
cen-national,,,,,,,,,,,,,
csdpa-national,,,,,,,,,,,,,
caspa-national,national conference for Catholic secondary school principals,https://www.caspa.edu.au/newsletter/article/1305?skin=1,"Catholic secondary school principals, primary principals, executive team members, and school improvement leaders",https://www.caspa.edu.au/newsletter/article/1305?skin=1,more than 350 expected attendees,https://www.caspa.edu.au/newsletter/article/1305?skin=1,,,,,Catholic Secondary Principals Australia (CaSPA),https://www.caspa.edu.au/newsletter/article/1305?skin=1,
child-adolescent-mental-health,national professional conference focused on child and adolescent mental health,https://anzmh.asn.au/camhc,"psychologists, psychiatrists, GPs, nurses, educators, social workers, researchers, policymakers, community leaders, lived experience advocates, and allied health professionals",https://anzmh.asn.au/camhc,"hundreds of delegates described, but no specific number stated",https://anzmh.asn.au/camhc,,,"an open call to present exists, but whether speaking slots are available specifically to sponsors or exhibitors is not stated",https://anzmh.asn.au/camhc,CAMHC (Child & Adolescent Mental Health Conference),https://anzmh.asn.au/camhc,
ipsha-2026,,,,,,,,,,,,,
isq-heart-of-learning,leadership summit for independent school professionals,https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,"education executives, school board representatives, principals, business managers, ICT managers, curriculum leaders, PR and marketing managers",https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,,,,,,,Independent Schools Queensland (ISQ),https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,
nes-wellbeing-for-future-focused-schools,"education conference focused on teacher and student wellbeing, mental health, and school culture",https://www.nationaleducationsummit.com.au/melbourne/wellbeing-for-future-focused-schools | https://nationaleducationsummit.com.au/brisbane/wellbeing-for-future-focused-schools/,"school leaders, wellbeing coordinators, counsellors, and educators across K-12",https://www.nationaleducationsummit.com.au/melbourne/wellbeing-for-future-focused-schools | https://nationaleducationsummit.com.au/brisbane/wellbeing-for-future-focused-schools/,,,,,,,National Education Summit,https://www.nationaleducationsummit.com.au/melbourne/wellbeing-for-future-focused-schools | https://nationaleducationsummit.com.au/brisbane/wellbeing-for-future-focused-schools/,
nswppa,,,primary school principals,https://www.nswppa.org.au/sponsorship-enquiries,,,,,,,New South Wales Primary Principals' Association,https://www.nswppa.org.au/sponsorship-enquiries,
nswsdpa,annual state conference,https://nswsdpa.asn.au/news/2026-annual-conference-call-for-potentexhibitors/ | https://nswsdpa.asn.au/conferences/2026-annual-state-conference/,,,,,,,,,NSW School Deputy Principals' Association (NSWSDPA),https://nswsdpa.asn.au/news/2026-annual-conference-call-for-potentexhibitors/ | https://nswsdpa.asn.au/conferences/2026-annual-state-conference/,
nswspc,annual multi-day conference for secondary school principals,https://nswspc.org.au/event/spc-annual-conference/ | https://nswspc.org.au/events/,secondary school principals,https://nswspc.org.au/event/spc-annual-conference/ | https://nswspc.org.au/events/,,,,,,,New South Wales Secondary Principals' Council,https://nswspc.org.au/event/spc-annual-conference/ | https://nswspc.org.au/events/,
positive-schools,,,,,,,,,,,Positive Schools,https://www.positiveschools.com/Positive-Schools-2025-Mental-Health-and-Wellbeing-Conferences,
positive-schools-sydney-2026,"multi-city conference series focused on school mental health, wellbeing, and student behaviour",https://www.positiveschools.com/positive-schools-2026-mental-health-wellbeing-conferences,"teachers, school leaders, counsellors, and educators working in schools",https://www.positiveschools.com/positive-schools-2026-mental-health-wellbeing-conferences,,,,,presenter submissions are accepted but closed for 2026; no mention of speaking slots available to sponsors or exhibitors,https://www.positiveschools.com/positive-schools-2026-mental-health-wellbeing-conferences,Positive Schools,https://www.positiveschools.com/positive-schools-2026-mental-health-wellbeing-conferences,
qassp-school-leadership,annual professional conference for school leaders,https://www.qassp.org.au/Web/Our-Learning/Event_display.aspx?EventKey=26STCBNE05&WebsiteKey=ed8a6d99-f0c2-4c53-92b9-f29c634edef3 | https://qassp.org.au/common/Uploaded%20files/Learning/Conference/QASSP%20Conference%20Partner%20Prospectus%202026%20-%20Interactive.pdf,Queensland state primary school principals and school leaders,https://www.qassp.org.au/Web/Our-Learning/Event_display.aspx?EventKey=26STCBNE05&WebsiteKey=ed8a6d99-f0c2-4c53-92b9-f29c634edef3 | https://qassp.org.au/common/Uploaded%20files/Learning/Conference/QASSP%20Conference%20Partner%20Prospectus%202026%20-%20Interactive.pdf,"more than 420 delegates, based on 2025 figures",https://www.qassp.org.au/Web/Our-Learning/Event_display.aspx?EventKey=26STCBNE05&WebsiteKey=ed8a6d99-f0c2-4c53-92b9-f29c634edef3 | https://qassp.org.au/common/Uploaded%20files/Learning/Conference/QASSP%20Conference%20Partner%20Prospectus%202026%20-%20Interactive.pdf,"opted-in delegate list (name, position, school, email) provided to exhibitors and business partners",https://www.qassp.org.au/Web/Our-Learning/Event_display.aspx?EventKey=26STCBNE05&WebsiteKey=ed8a6d99-f0c2-4c53-92b9-f29c634edef3 | https://qassp.org.au/common/Uploaded%20files/Learning/Conference/QASSP%20Conference%20Partner%20Prospectus%202026%20-%20Interactive.pdf,"yes, various speaking opportunities including 5-minute, 10-minute, and 20-minute breakout segments depending on sponsorship tier",https://www.qassp.org.au/Web/Our-Learning/Event_display.aspx?EventKey=26STCBNE05&WebsiteKey=ed8a6d99-f0c2-4c53-92b9-f29c634edef3 | https://qassp.org.au/common/Uploaded%20files/Learning/Conference/QASSP%20Conference%20Partner%20Prospectus%202026%20-%20Interactive.pdf,Queensland Association of State School Principals (QASSP),https://www.qassp.org.au/Web/Our-Learning/Event_display.aspx?EventKey=26STCBNE05&WebsiteKey=ed8a6d99-f0c2-4c53-92b9-f29c634edef3 | https://qassp.org.au/common/Uploaded%20files/Learning/Conference/QASSP%20Conference%20Partner%20Prospectus%202026%20-%20Interactive.pdf,
qiss-2026,leadership summit for independent school professionals,https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,"education executives, school board representatives, principals, business managers, ICT managers, curriculum leaders, PR and marketing managers",https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,,,,,,,Independent Schools Queensland (ISQ),https://www.isq.qld.edu.au/supporting-schools/professional-learning-events/qiss-2026/,
qspa,,,,,,,,,,,,,scrape https://qspa.asn.au/events: no markdown returned; no markdown scraped
saasla-conference-2026,annual conference for regional school leaders in South Australia,https://educators-sa.sa.edu.au/events/2025-saasla-conference-strengthening-country-connections/,area school leaders and education leaders from rural and regional South Australia,https://educators-sa.sa.edu.au/events/2025-saasla-conference-strengthening-country-connections/,,,,,,,South Australian Area School Leaders Association (SAASLA),https://educators-sa.sa.edu.au/events/2025-saasla-conference-strengthening-country-connections/,
sacppa,,,Principals and Deputy Principals of Catholic Primary schools in South Australia,https://www.sacppa.com.au/,,,,,,,South Australian Catholic Primary Principals Association (SACPPA),https://www.sacppa.com.au/,
sappa-2026,Annual two-day professional learning conference for public primary school leaders,https://sappa.com.au/,Public primary school principals and education leaders,https://sappa.com.au/,,,,,,,SAPPA (South Australian Primary Principals Association),https://sappa.com.au/,
saspa-annual,annual professional conference for school administrators and leaders,https://saspa.com.au/annual-conference/overview/ | https://saspa.com.au/2026-saspa-conference-registration-sponsorship/,"school leaders and principals, with a focus on those in member schools",https://saspa.com.au/annual-conference/overview/ | https://saspa.com.au/2026-saspa-conference-registration-sponsorship/,,,,,,,SASPA,https://saspa.com.au/annual-conference/overview/ | https://saspa.com.au/2026-saspa-conference-registration-sponsorship/,
sawlis,,,,,,,,,,,,,scrape https://www.sawlissas.com.au/conference: no markdown returned; no markdown scraped
student-anxiety-summit,,,,,,,,,,,,,"scrape https://www.instagram.com/p/DRQqPPDEQhn/: HTTP 403 {'success': False, 'error': 'We apologize for the inconvenience but we do not support this site. If you are part of an enterprise and want to have a further conversation about this, please fill out ou; no markdown scraped"
